#0_Luo2014-1,1_Luo2014-2,2_Jin2013-1,3_Jin2013-2,4_Jin2014-1,5_Jin2014-2,6_Meng2014a-1,7_Li2013-1,8_Li2013-2,9_Margazzi2012-1,10_Saponaro2014-1,11_Saponaro2014-2,12_Fong2014-1,13_Fong2014-2,14_Danko2015-1,15_Danko2015-2,16_Andersson2014-1,17_Andersson2014-2,18_Core2014-1,19_Core2014-2,20_Allen2014-1,21_Allen2014-2,22_Sigova2013-1,23_Sigova2013-2,24_Gardini2014-1,25_Gardini2014-2,26_Wang2013-1,27_Wang2013-2,28_Yang2014-1,29_Yang2014-2,30_Hah2013-1,31_Hah2013-2,32_Duttke2015-1,33_Duttke2015-2,34_Puc2015-1,35_Puc2015-2,36_Le2013-1,37_Core2008-1,38_Core2008-2
2509.0,2475.0,2491.0,2431.0,1163.0,995.0,753.0,2179.0,2109.0,1941.0,1205.0,1133.0,504.0,451.0,1351.0,1331.0,2456.0,3046.0,2057.0,1417.0,2880.0,2985.0,1461.0,1403.0,3659.0,13929.0,1155.0,985.0,1011.0,1099.0,1292.0,1365.0,832.0,770.0,860.0,794.0,726.0,1435.0,1404.0
1733.0,1767.0,1242.0,1332.0,384.0,377.0,1865.0,927.0,884.0,1164.0,995.0,923.0,81.0,93.0,2533.0,2293.0,1383.0,1377.0,1863.0,1429.0,1560.0,1708.0,1639.0,1587.0,773.0,1155.0,10916.0,3748.0,407.0,506.0,1222.0,1236.0,402.0,395.0,508.0,458.0,784.0,1118.0,1169.0
1493.0,1664.0,1062.0,1139.0,343.0,352.0,1659.0,805.0,806.0,1004.0,909.0,850.0,79.0,86.0,2163.0,1853.0,1116.0,1280.0,1504.0,1124.0,1294.0,1376.0,1371.0,1310.0,659.0,985.0,3748.0,9640.0,382.0,478.0,1160.0,1267.0,383.0,342.0,453.0,423.0,794.0,1085.0,1078.0
490.0,466.0,888.0,963.0,1398.0,1211.0,334.0,1843.0,1778.0,490.0,573.0,497.0,439.0,483.0,427.0,442.0,420.0,502.0,484.0,432.0,558.0,601.0,542.0,454.0,887.0,1011.0,407.0,382.0,4444.0,1750.0,558.0,585.0,273.0,286.0,1045.0,962.0,343.0,508.0,504.0
620.0,588.0,949.0,1044.0,1409.0,1245.0,410.0,1820.0,1813.0,637.0,674.0,621.0,411.0,467.0,571.0,589.0,540.0,617.0,636.0,548.0,732.0,767.0,666.0,606.0,929.0,1099.0,506.0,478.0,1750.0,4396.0,669.0,697.0,340.0,332.0,1113.0,1053.0,428.0,623.0,617.0
1728.0,2134.0,1167.0,1097.0,436.0,479.0,973.0,1393.0,1635.0,1115.0,1391.0,1424.0,108.0,108.0,1294.0,1492.0,1819.0,1732.0,1422.0,1179.0,1610.0,1695.0,3055.0,3119.0,848.0,1292.0,1222.0,1160.0,558.0,669.0,24408.0,9726.0,589.0,596.0,599.0,545.0,1540.0,1649.0,1650.0
1831.0,2464.0,1234.0,1150.0,440.0,479.0,1085.0,1365.0,1703.0,1181.0,1477.0,1478.0,109.0,121.0,1330.0,1490.0,1781.0,1846.0,1493.0,1164.0,1668.0,1754.0,3085.0,2993.0,862.0,1365.0,1236.0,1267.0,585.0,697.0,9726.0,27795.0,644.0,607.0,621.0,578.0,1816.0,1791.0,1789.0
617.0,708.0,668.0,645.0,298.0,290.0,415.0,501.0,557.0,564.0,751.0,732.0,86.0,82.0,417.0,430.0,850.0,944.0,452.0,429.0,655.0,679.0,500.0,480.0,808.0,832.0,402.0,383.0,273.0,340.0,589.0,644.0,5210.0,1561.0,300.0,291.0,476.0,847.0,882.0
565.0,679.0,674.0,599.0,314.0,300.0,367.0,478.0,549.0,543.0,731.0,678.0,94.0,100.0,404.0,413.0,803.0,887.0,435.0,409.0,644.0,654.0,467.0,477.0,748.0,770.0,395.0,342.0,286.0,332.0,596.0,607.0,1561.0,4968.0,299.0,283.0,434.0,810.0,814.0
570.0,542.0,736.0,755.0,979.0,1033.0,380.0,1092.0,1155.0,610.0,575.0,522.0,156.0,167.0,541.0,536.0,511.0,565.0,616.0,532.0,668.0,706.0,617.0,553.0,705.0,860.0,508.0,453.0,1045.0,1113.0,599.0,621.0,300.0,299.0,2991.0,1259.0,345.0,520.0,524.0
543.0,477.0,663.0,703.0,991.0,987.0,349.0,1059.0,1082.0,561.0,520.0,462.0,167.0,189.0,518.0,505.0,475.0,532.0,579.0,501.0,613.0,642.0,571.0,538.0,652.0,794.0,458.0,423.0,962.0,1053.0,545.0,578.0,291.0,283.0,1259.0,2848.0,328.0,501.0,531.0
995.0,1342.0,761.0,761.0,315.0,331.0,771.0,681.0,747.0,731.0,1084.0,1172.0,101.0,125.0,742.0,877.0,973.0,1015.0,688.0,659.0,892.0,970.0,1247.0,1245.0,547.0,726.0,784.0,794.0,343.0,428.0,1540.0,1816.0,476.0,434.0,345.0,328.0,14709.0,1193.0,1167.0
2403.0,2644.0,2397.0,2213.0,440.0,446.0,882.0,1090.0,1097.0,1252.0,1295.0,1242.0,160.0,183.0,1220.0,1231.0,1507.0,1503.0,1347.0,1187.0,1417.0,1472.0,1329.0,1304.0,974.0,1435.0,1118.0,1085.0,508.0,623.0,1649.0,1791.0,847.0,810.0,520.0,501.0,1193.0,17388.0,3936.0
2344.0,2622.0,2417.0,2275.0,463.0,450.0,862.0,1088.0,1079.0,1241.0,1293.0,1196.0,188.0,194.0,1229.0,1239.0,1500.0,1490.0,1356.0,1170.0,1405.0,1489.0,1356.0,1321.0,1003.0,1404.0,1169.0,1078.0,504.0,617.0,1650.0,1789.0,882.0,814.0,524.0,531.0,1167.0,3936.0,17477.0
